"code_job","job"
111,"의회의원 고위공무원 및 공공단체임원"
112,"기업고위임원"
120,"행정 및 경영지원 관리자"
131,"연구 교육 및 법률 관련 관리자"
132,"보험 및 금융 관리자"
133,"보건 및 사회복지 관련 관리자"
134,"문화 예술 디자인 및 영상 관련 관리자"
135,"정보통신관련 관리자"
139,"기타 전문서비스 관리자"
141,"건설 전기 및 생산 관련 관리자"
149,"기타 건설 전기 및 생산 관련 관리자"
151,"판매 및 운송 관리자"
152,"고객서비스 관리자"
153,"환경 청소 및 경비 관련 관리자"
159,"기타 판매 및 고객서비스 관리자"
211,"생명 및 자연 과학 관련 전문가"
212,"인문 및 사회 과학 전문가"
213,"생명 및 자연 과학 관련 시험원"
221,"컴퓨터 하드웨어 및 통신공학 전문가"
222,"정보시스템 개발 전문가"
223,"정보 시스템 운영자"
224,"통신 및 방송송출 장비 기사"
231,"건축 및 토목 공학 기술자 및 시험원"
232,"화학공학 기술자 및 시험원"
233,"금속 재료 공학 기술자 및 시험원"
234,"환경공학 기술자 및 시험원"
235,"전기 전자 및 기계 공학 기술자 및 시험원"
236,"안전 관리 및 검사원"
237,"항공기 선박 기관사 및 관제사"
239,"기타 공학 전문가 및 관련 종사자"
241,"의료진료 전문가"
242,"약사 및 한약사"
243,"간호사"
244,"영양사"
245,"치료사 및 의료기사"
246,"보건의료관련 종사자"
247,"사회복지관련 종사자"
248,"종교관련 종사자"
251,"대학 교수 및 강사"
252,"학교 교사"
253,"유치원 교사"
254,"문리 기술 및 예능 강사"
259,"기타 교육 전문가"
261,"법률 전문가"
262,"행정 전문가"
271,"인사 및 경영 전문가"
272,"금융 및 보험 전문가"
273,"상품기획 홍보 및 조사 전문가"
274,"기술영업 및 중개 관련 종사자"
281,"작가 기자 및 출판 전문가"
282,"큐레이터 사서 및 기록물관리사"
283,"연극 영화 및 영상 전문가"
284,"화가 사진가 및 공연예술가"
285,"디자이너"
286,"스포츠 및 레크레이션 관련 전문가"
289,"매니저 및 기타 문화 예술 관련 종사자"
311,"행정 사무원"
312,"경영관련 사무원"
313,"회계 및 경리 사무원"
314,"비서 및 사무 보조원"
320,"금융 및 보험관련 사무 종사자"
330,"법률 및 감사 사무 종사자"
391,"통계관련 사무원"
392,"여행 안내 및 접수 사무원"
399,"고객 상담 및 기타 사무원"
411,"경찰 소방 및 교도 관련 종사자"
412,"경호 및 보안 관련 종사자"
421,"의료 복지 관련 서비스 종사자"
422,"이 미용 및 관련 서비스 종사자"
423,"혼례 및 장례 종사자"
429,"기타 이미용 예식 및 의료보조 서비스 종사자"
431,"운송 서비스 종사자"
432,"여가 및 스포츠 관련 종사자"
441,"주방장 및 조리사"
442,"음식서비스 종사자"
510,"영업 종사자"
521,"매장 판매 종사자"
522,"상품 대여 종사자"
530,"방문 노점 및 통신 판매 관련 종사자"
611,"작물재배 종사자"
612,"원예 및 조경 종사자"
613,"축산 및 사육 관련 종사자"
620,"임업관련 종사자"
630,"어업관련 종사자"
710,"식품가공관련 기능 종사자"
721,"섬유 및 가죽 관련 기능 종사자"
722,"의복 제조관련 기능 종사자"
730,"목재 가구 악기 및 간판 관련 기능 종사자"
741,"금형 주조 및 단조원"
742,"제관원 및 판금원"
743,"용접원"
751,"자동차 정비원"
752,"운송장비 정비원"
753,"기계장비 설치 및 정비원"
761,"전기 및 전자기기 설치 및 수리원"
762,"전기공"
771,"건설구조관련 기능 종사자"
772,"건설관련 기능 종사자"
773,"건축마감관련 기능 종사자"
774,"채굴 및 토목 관련 기능 종사자"
780,"영상 및 통신 장비 관련 설치 및 수리원"
791,"공예 및 귀금속 세공원"
792,"배관공"
799,"기타 기능관련 종사자"
811,"식품가공관련 기계조작원"
812,"음료제조관련 기계조작원"
819,"기타 식품가공관련 기계조작원"
821,"섬유제조 및 가공 기계조작원"
822,"직물 및 신발 관련 기계조작원 및 조립원"
823,"세탁관련 기계조작원"
831,"석유 및 화학물 가공장치 조작원"
832,"화학 고무 및 플라스틱 제품 생산기 조작원"
841,"주조 및 금속 가공관련 기계조작원"
842,"도장 및 도금기 조작원"
843,"비금속 제품 생산기 조작원"
851,"금속공작기계 조작원"
852,"냉 난방 관련 설비 조작원"
853,"자동조립라인 및 산업용 로봇 조작원"
854,"운송차량 및 기계 관련 조립원"
855,"금속기계부품 조립원"
861,"발전 및 배전 장치 조작원"
862,"전기 및 전자 설비 조작원"
863,"전기 전자 부품 및 제품 제조장치 조작원"
864,"전기 전자 부품 및 제품 조립원"
871,"철도 및 전동차 기관사"
872,"화물열차 차장 및 관련 종사원"
873,"자동차 운전원"
874,"물품이동 장비 조작원"
875,"건설 및 채굴 기계운전원"
876,"선박 갑판승무원 및 관련 종사원"
881,"상 하수도 처리장치 조작원"
882,"재활용 처리 및 소각로 조작원"
891,"목재 및 종이 관련 기계조작원"
892,"인쇄 및 사진현상 관련 기계조작원"
899,"기타 제조관련 기계조작원"
910,"건설 및 광업 단순 종사원"
921,"하역 및 적재 단순 종사원"
922,"배달원"
930,"제조관련 단순 종사원"
941,"청소원 및 환경 미화원"
942,"경비원 및 검표원"
951,"가사 및 육아 도우미"
952,"음식관련 단순 종사원"
953,"판매관련 단순 종사원"
991,"농립어업관련 단순 종사원"
992,"계기검침 수금 및 주차 관련 종사원"
999,"기타 서비스관련 단순 종사원"
1011,"장교"
1012,"장기 부사관 및 준위"
